Residenciales Vistas del Prado.... manzana T..... lote 10.... en zona 18,Residenciales Vistas del Prado.... manzana T..... lote 10.... en zona 18,,,
Roosevelt,Roosevelt,,,
agencia,agencia,,,
agencia,agencia,,,
ayarzar,ayarzar,,,
brigada de infantería,brigada de infantería,,,
cardo express,cardo express,,,
casa,cantón,casa,caserío,pueblo
chimusinoque zona 12,chimusinoque zona 12,,,
colonia Bethania Zona 7,colonia Bethania Zona 7,,,
cunor,cunor,,,
frontera de comisión,frontera de comisión,,,
frontera el Carmen,frontera el Carmen,,,
la avenida las Américas,la avenida las Américas,,,
la indepemdencia,la indepemdencia,,,
oficina de cargo expresso,oficina de cargo expresso,,,
pedro de Alvarado,pedro de Alvarado,,,
residencia,residencia,,,
santiago,santiago,,,
tulate,tulate,,,
villa nueva,villa nueva,,,
zona,zona,,,
zona 1,zona 1,,,
zona 1,zona 1,,,
zona 1,zona 1,,,
zona 11,zona 11,,,
zona 11 capital,zona 11 capital,,,
zona 13,zona 13,,,
zona 16,zona 16,,,
zona 18,zona 18,,,
zona 6,zona 6,,,
zona 9,zona 9,,,
zona 10,zona 10,,,
zona 12,zona 12,,,
zona 14,zona 14,,,
zona 15,zona 15,,,
zona 15 Vista Hermosa,zona 15 Vista Hermosa,,,
zona 16,zona 16,,,
zona 17,zona 17,,,
zona 19,zona 19,,,
zona 20,zona 20,,,
zona 21,zona 21,,,
diagonal 6,diagonal 6,,,
20 calle,20 calle,,,
colonia,colonia,,,
Residencias,Residencias,,,
residenciales,residenciales,,,
resi,resi,,,
apartamentos,apartamentos,,,
1era calle,1era calle,,,
1 calle,1 calle,,,
2da calle,2da calle,,,
2 calle,2 calle,,,
3era calle,3era calle,,,
3 calle,3 calle,,,
4ta calle,4ta calle,,,
4 calle,4 calle,,,
5ta calle,5ta calle,,,
5 calle,5 calle,,,
6ta calle,6ta calle,,,
6 calle,6 calle,,,
7ma calle,7ma calle,,,
7 calle,7 calle,,,
8va calle,8va calle,,,
8 calle,8 calle,,,
9na calle,9na calle,,,
9 calle,9 calle,,,
10ma calle,10ma calle,,,
10 calle,10 calle,,,
11 calle,11 calle,,,
12 calle,12 calle,,,
13 calle,13 calle,,,
14 calle,14 calle,,,
15 calle,15 calle,,,
16 calle,16 calle,,,
17 calle,17 calle,,,
18 calle,18 calle,,,
19 calle,19 calle,,,
avenida,avenida,,,
San Juan,San Juan,,,
Carretera al Salvador,Carretera al Salvador,,,
